jumlah_disukai,tweet,url,pengguna
19,"['ikn', 'nusantara', 'kota', 'indonesia', 'bangun', 'sistem', 'struktur', 'modern', 'ramah', 'lingkung', 'libat', 'teknologi', 'modern', 'digital', 'ide', 'ide', 'kreatif', 'tunjang', 'sistem', 'perintah', 'depan', 'ariel', 'tatum', 'barca', 'hujan', 'legolas', 'httpstcolwwiod6sbd']",https://x.com/Saodah1234/status/1794149284017054081,Saodah1234
16,"['bangun', 'bandara', 'vvip', 'kota', 'nusantara', 'ikn', 'serta', 'fasilitas', 'dukung', 'bangun', 'bandara', 'kontribusi', 'positif', 'tumbuh', 'ekonomi', 'bangun', 'kalimantan', 'timur', 'ariel', 'tatum', 'barca', 'hujan', 'legolas', 'kalo', 'cantik', 'legolas', 'dinda', 'garut', 'httpstcoprkjyy6npd']",https://x.com/Hansunriko/status/1794143591142752719,Hansunriko
16,"['kurator', 'bangun', 'kota', 'nusantara', 'ikn', 'mantan', 'gubernur', 'jawa', 'barat', 'ridwan', 'kamil', 'rk', 'ikn', 'bangun', 'sembarang', 'perhati', 'dunia', 'ariel', 'tatum', 'barca', 'hujan', 'legolas', 'kalo', 'cantik', 'legolas', 'dinda', 'garut', 'httpstcopth053wash']",https://x.com/Hansunriko/status/1794142972394758210,Hansunriko
3,"['karianserpong', 'nota', 'paham', 'netzero', 'water', 'supply', 'infrastructure', 'project', 'kota', 'nusantara', 'ikn', 'nota', 'paham', 'ditandatangani', 'high', 'level', 'panel', 'hlp1', 'world', 'water', 'forum', 'ke10', 'nusantara', 'bndcc', 'nusa', 'kuta', 'selatan', 'selasa', '215']",https://x.com/Nidyna10/status/1794141884958539822,Nidyna10
18,"['badan', 'bank', 'tanah', 'luas', 'lahan', 'proyek', 'bangun', 'bandara', 'vvip', 'kota', 'nusantara', 'ikn', 'kalimantan', 'timur', 'lahan', 'luas', 'kali', 'lipat', 'sebelummya', '347', 'hektare', 'ha', '621', 'ha', 'ariel', 'tatum', 'barca', 'hujan', 'legolas', 'kalo', 'cantik', 'legolas', 'dinda', 'garut', 'httpstcoeq3qh682u3']",https://x.com/Nidyna10/status/1794141592829476982,Nidyna10
1,"['httpstco9irbudmozn', 'repost', 'wakil', 'menteri', 'agraria', 'tata', 'ruangwakil', 'kepala', 'badan', 'tanah', 'nasional', 'wamen', 'atrwaka', 'bpn', 'raja', 'juli', 'antoni', 'pimpin', 'rapat', 'bahas', 'ada', 'tanah', 'kota', 'nusantara', 'ikn']",https://x.com/kabberau/status/1794030645259477085,kabberau
0,"['harap', 'masyarakat', 'kalimantan', 'timur', 'kota', 'nusantara', 'ariel', 'tatum', 'keramas', 'pegi', 'hujan', 'kost', '2', 'malam', 'cabut', 'nyawa', 'magelang', 'imran', 'khan', 'httpstconn0lc4dnwz']",https://x.com/AmbarKusumawa07/status/1794028146532188599,AmbarKusumawa07
0,"['masyarakat', 'kota', 'balikpapan', 'patut', 'bangga', 'sangga', 'kota', 'nusantara', 'ikn', 'balikpapan', 'nobat', 'kota', 'bersih', 'enam', 'kota', 'indonesia', 'masuk', 'nominasi', 'adipura', 'kencana', '2023', 'balikpapan', 'bersih', 'ikn', 'httpstco3rmgarlygl']",https://x.com/heralddotID/status/1794022277157412891,heralddotID
1,"['repost', 'kementerianatrbpn', 'wakil', 'menteri', 'agraria', 'tata', 'ruangwakil', 'kepala', 'badan', 'tanah', 'nasional', 'wamen', 'atrwaka', 'bpn', 'raja', 'juli', 'antoni', 'pimpin', 'rapat', 'bahas', 'ada', 'tanah', 'kota', 'nusantara', 'ikn', 'httpstcokopkeqitfh']",https://x.com/kantahkabtdatar/status/1794016812398674374,kantahkabtdatar
0,"['otorita', 'kota', 'nusantara', 'sosialisasi', 'komunikasi', 'linta', 'httpstcozpeifwsax0']",https://x.com/ruiten1980/status/1794001333441442114,ruiten1980
