Unnamed: 0,full_text,tweet_english
0,ikn nusantara ibu kota baru indonesia bangun sistem struktur modern ramah lingkung libat bagai teknologi modern digital ide ide kreatif tunjang sistem perintah depan ariel tatum barca hujan legolas,"IKN Nusantara, Indonesia's new capital city, builds a modern, environmentally friendly structural system involving modern digital technology, creative ideas to support the front command system, Ariel Tatum, Barca Rain, Legolas"
1,bangun bandara ibu kota nusantara ikn serta fasilitas dukung terus bangun bandara tentu beri kontribusi positif tumbuh ekonomi bangun kalimantan timur ariel tatum barca hujan legolas kalo cantik legolas,"building the airport for the capital of the archipelago, IKN and supporting facilities, continuing to build the airport will certainly make a positive contribution to economic growth, build East Kalimantan, Ariel Tatum, Barca, Rain, Legolas, if it's beautiful, Legolas"
2,bangun ibu kota nusantara ikn sekaligus mantan gubernur jawa barat ridwan kamil rk tegas ikn bangun sembarang jadi perhati dunia ariel tatum barca hujan legolas kalo cantik legolas,"build the capital of the archipelago, IKN and the former governor of West Java, Ridwan Kamil RK, firmly IKN, build whatever you want, so pay attention to the world, Ariel Tatum, Barca, it's raining, Legolas, if it's beautiful, Legolas"
3,nota paham kena water supply infrastructure project ibu kota nusantara ikn nota paham ditandatangani usai high level panel hlp1 world water forum ke10 nusantara bndcc nusa kuta selatan selasa 215,memorandum of understanding regarding water supply infrastructure project capital city of the archipelago IKN memorandum of understanding signed after high level panel hlp1 world water forum 10th archipelago bndcc nusa kuta Selatan tuesday 215
4,badan bank tanah luas lahan proyek bangun bandara ibu kota nusantara ikn kalimantan timur lahan luas hampir kali lipat sebelummya 347 hektare ha jadi 621 ha ariel tatum barca hujan legolas kalo cantik legolas,land bank agency land area for the project to build an airport for the capital of the archipelago IKN East Kalimantan land area almost doubles from the previous 347 hectares to 621 ha ariel tatum barca rain legolas if it's beautiful legolas
5,wakil menteri agraria tata ruangwakil kepala badan tanah nasional wamen atrwaka bpn raja juli antoni pimpin rapat bahas ada tanah ibu kota nusantara ikn,deputy minister of agrarian spatial planning deputy head of the national land agency wamen atrwaka bpn raja juli antoni chairs meeting to discuss land for the capital of the archipelago iKN
6,harap masyarakat kalimantan timur ibu kota nusantara ariel tatum keramas pegi hujan kost 2 malam cabut nyawa magelang imran khan,"hope the people of East Kalimantan, the capital of the archipelago, Ariel Tatum, wash their hair, go to the rain, boarding for 2 nights, take the life of Magelang Imran Khan"
7,masyarakat kota balikpapan patut bangga jadi sangga ibu kota nusantara ikn balikpapan nobat kota bersih enam kota indonesia masuk nominasi adipura kencana tahun 2023,The people of Balikpapan City should be proud to be the champion of the archipelago's capital IKN Balikpapan Nobat Clean City Six Indonesian cities nominated for Adipura Kencana in 2023
8,atrbpn wakil menteri agraria tata ruangwakil kepala badan tanah nasional wamen atrwaka bpn raja juli antoni pimpin rapat bahas ada tanah ibu kota nusantara ikn,atrbpn deputy minister of agrarian spatial planning deputy head of national land agency wamen atrwaka bpn raja juli antoni chairs meeting to discuss land for the capital of the archipelago ikn
9,otorita ibu kota nusantara sosialisasi penting komunikasi linta,archipelago capital authority socializes important cross-country communications
10,atrbpn wakil menteri agraria tata ruangwakil kepala badan tanah nasional wamen atrwaka bpn raja juli antoni pimpin rapat bahas ada tanah ibu kota nusantara ikn,atrbpn deputy minister of agrarian spatial planning deputy head of national land agency wamen atrwaka bpn raja juli antoni chairs meeting to discuss land for the capital of the archipelago ikn
11,ppu satu tugas ops nusantara mahakam deteksi cepat bangun ibu kota nusantara ikn polda kaltim laksana aman monitoring progres bangun fisik hotel nusantara,PPU One Task Ops Nusantara Mahakam Rapid Detection of Building the Archipelago Capital IKN Polda Kalimantan as safe monitoring the progress of the physical construction of the Nusantara Hotel
12,satgas ops nusantara mahakam polda kaltim rutin laku awas bangun hotel nusantara ikn jalan lancarl paku satu tugas ops nusantara mahakam deteksi cepat bangun ibu kota,"Mahakam Archipelago Ops Task Force, East Kalimantan Regional Police routinely sells, monitors building Nusantara hotels, IKN runs smoothly, nails one task, Mahakam Archipelago Ops, fast detection, builds capital city"
13,satgas ops nusantara mahakam polda kaltim rutin laku awas bangun hotel nusantara ikn jalan lancar paku satu tugas ops nusantara mahakam deteksi cepat bangun ibu kota nusantara ikn polda kaltim laksana,"the Mahakam Archipelago Ops Task Force, East Kalimantan Regional Police, routinely sells, monitors the building of the Indonesian Archipelago Hotel, IKN runs smoothly, nails one task, the Mahakam Archipelago Ops, fast detection, builds the capital of the archipelago, IKN, East Kalimantan Regional Police implements"
14,ketua ombudsman ri mokhammad najih ingat perintah siap sarana prasarana dasar hidup ibu kota nusantara kalimantan timur,"RI Ombudsman Chairman Mokhammad Najih remembers the order to prepare basic infrastructure for life in the capital of the archipelago, East Kalimantan"
15,pindah ibu kota nusantara peluang besar warga negara baik hidup,Moving to the capital of the archipelago is a great opportunity for good citizens to live
16,wamen atrwaka bpn raja juli antoni pimpin rapat bahas ada tanah ibu kota nusantara ikn rapat langsung ruang rapat direktorat jenderal ada tanah kembang tanah ditjen ptpp jakarta selasa 21052024,"Deputy Minister Atrwaka BPN Raja Juli Antoni chairs the meeting to discuss whether there is land for the capital of the archipelago in direct meeting, the directorate general's meeting room has land for development, land at the Directorate General of PTPP Jakarta, Tuesday 21052024"
17,ibu kota nusantara bukan impi wujud sama,the capital of the archipelago is not a dream of being the same
18,waisak jadi momentum bangun spirit ibu kota nusantara kost 2 keramas malam cabut nyawa,Waisak is a momentum to wake up the spirit of the capital of the archipelago. Kost 2 washes one's hair at night and takes one's life
19,ibu kota nusantara jadi rintis terap transportasi cerdas kost 2 keramas malam cabut nyawa pegi,The capital city of the archipelago has pioneered the application of intelligent transportation at boarding house 2. Washing your hair at night takes your life away
20,pindah ibu kota nusantara tingkat kualitas hidup warga tempat ada infrastruktur lebih modern pada,"moving to the capital of the archipelago, the level of quality of life of residents where there is more modern infrastructure"
21,edar tiktok video narasi ibu kota nusantara ikn batal jadi ibu kota baruvideo sebut unggah akun tiktok coycoyheru,circulating tiktok video narration of the capital of the archipelago IKN cancels becoming the new capitalvideo says upload tiktok account coycoyheru
22,pindah ibu kota nusantara kuat padu koordinasi perintah pusat daerahdaerah indonesia,moving the capital city of the archipelago to strengthen the coordination of regional and regional central commands in Indonesia
23,ibu kota nusantara 48 gitu,the capital of the 48th archipelago
24,ada ibu kota nusantara warga tempat eksplorasi potensi wisata kuliner daerah,there is the capital city of the archipelago where residents can explore the potential of regional culinary tourism
25,pindah ibu kota nusantara bukan soal infrastruktur sejahtera rakyat,Moving the capital city of the archipelago is not a matter of infrastructure for the welfare of the people
26,rencana guna energi baru kawasan ibu kota nusantara segera wujud tag syahrini keramas pegi boba kost 2 magelang,plans for new energy in the archipelago's capital region will soon come into fruition tag syahrini wash hair go to boba boarding house 2 magelang
27,presiden pilih prabowo subianto yakin apbn sanggup biaya proyek bangun ibu kota nusantara tag syahrini keramas pegi boba kost 2 magelang,President elects Prabowo Subianto confident APBN can afford project costs to build archipelago's capital Tag Syahrini washes hair goes to Boba boarding house 2 Magelang
28,rencana guna energi baru kawasan ibu kota nusantara segera wujud tag syahrini keramas kost 2 pegi divergent boba malam cabut nyawa,plans for new energy in the archipelago's capital region will soon come into being Tag Syahrini shampooing boarding house 2 pegi divergent boba night takes life
29,kaji komprehensif awas ketat maximal rupa strategi perintah bangun ibu kota nusantara tag syahrini keramas kost 2 pegi divergent boba malam cabut nyawa,"Comprehensive study, strict supervision, maximal form of strategy for the order to wake up the capital of the archipelago, tag Syahrini, shampooing boarding house 2, Pegi Divergent Boba, night taking life"
30,presiden pilih prabowo subianto yakin apbn sanggup biaya proyek bangun ibu kota nusantara tag syahrini keramas kost 2 pegi divergent boba malam cabut nyawa,President elects Prabowo Subianto confident APBN can afford project costs to build archipelago's capital Tag Syahrini shampooing boarding house 2 Pegi divergent boba night takes life
31,waisak jadi momentum bangun spirit ibu kota nusantara keramas syahrini pegi malam cabut nyawa,"Waisak becomes a momentum to build the spirit of the capital city of the archipelago, Syahrini's hair washes at night, takes her life"
